decade,position,artist,album,indicativerevenue,us,uk,de,fr,ca,au
"2000s","48","Justin Timberlake","FutureSex / LoveSounds","73217.9268459148","1","1","3","5","1","1"
"2000s","49","Justin Timberlake","Justified","72909.5700910912","2","1","11","30","3","9"
"2000s","50","Jack Johnson","In Between Dreams","71587.4001416829","2","1","7","46","3","1"
"2000s","51","Alicia Keys","The Diary Of Alicia Keys","71368.79997411","1","13","10","5","-","22"
"2000s","52","OutKast","Speakerboxx & The Love Below","70751.307647265","1","8","21","13","4","9"
"2000s","53","Coldplay","X & Y","70546.9851469499","1","1","1","1","1","1"
"2000s","54","Mariah Carey","The Emancipation Of Mimi","70437.3390858869","1","7","14","4","2","6"
"2000s","55","Jennifer Lopez","J Lo","69553.0477077177","1","2","1","6","1","2"
"2000s","56","Carrie Underwood","Some Hearts","69547.8217293302","2","-","-","-","-","-"
"2000s","57","Michael Buble","It's Time","68176.5580915551","7","4","2","23","1","2"
"2000s","58","The Dixie Chicks","Fly","67766.1519482063","8","-","-","-","-","-"
"2000s","59","Sean Paul","Dutty Rock","67529.5474205397","9","2","10","20","1","22"
"2000s","60","Nelly","Nellyville","67352.338576533","1","2","2","25","2","2"
"2000s","61","Enrique Iglesias","Escape","67255.6761569176","2","1","3","19","1","1"
"2000s","62","Faith Hill","Breathe","65403.8037778333","10","19","76","63","17","7"
"2000s","63","Christina Aguilera","Christina Aguilera","63879.7647215061","3","14","63","44","9","21"
"2000s","64","Original Soundtrack","Coyote Ugly","63026.3110354464","10","-","5","117","4","1"
"2000s","65","Pink","I'm Not Dead","62862.2822334329","6","3","1","7","2","1"
"2000s","66","Rascal Flatts","Feels Like Today","62740.3065733436","1","-","-","-","-","-"
"2000s","67","Puddle of Mudd","Come Clean","62512.5775370094","9","12","10","82","-","23"
"2000s","68","Red Hot Chili Peppers","By The Way","62458.654592791","2","1","1","2","1","1"
"2000s","69","Dido","Life For Rent","61781.4603318989","4","1","1","1","2","1"
"2000s","70","Original Soundtrack","High School Musical","61768.7309020296","1","-","22","6","-","1"
"2000s","71","Three Doors Down","The Better Life","61482.9671347481","7","-","45","-","6","16"
"2000s","72","System of A Down","Toxicity","61271.0455213879","1","13","23","23","1","6"
"2000s","73","Dr Dre","Dr. Dre -- 2001","61023.1415929978","2","-","-","-","3","-"
"2000s","74","David Gray","White Ladder","61014.427716627","35","1","61","59","-","34"
"2000s","75","Celine Dion","All The Way... A Decade Of Songs","60981.8258824006","1","4","1","-","2","1"
"2000s","76","Madonna","Music","60891.0097889239","1","1","1","1","1","2"
"2000s","77","Usher","8701","60836.507142065","4","1","7","14","1","7"
"2000s","78","Gorillaz","Demon Days","60665.6094670985","6","1","2","1","5","2"
"2000s","79","Good Charlotte","The Young & The Hopeless","59828.6731931179","7","15","37","52","-","9"
"2000s","80","Taylor Swift","Taylor Swift","59587.128071502","5","81","-","-","14","-"
